,acceptability,sentence
8362,1,Did the magic work?
817,1,They alleged there to have been many strangers in that garden.
1221,0,"The money which I am discussing the claim that the company squandered amounts to $400,000."
2971,0,The president declared Smith to press secretary.
4414,1,John will kick the ball.
1273,1,"Irma washed the dishes, and Sally dried, and Floyd idled."
2630,1,Doug cleared the table.
2378,1,I sensed the eagerness in him.
5833,1,For Mary to love that boor is a travesty.
7689,1,I sent Mary money.
1473,1,A girl came in who had worn this coat.
8014,1,Humans love to eat those pigs.
6480,1,Mary sang for everyone who wanted to hear her.
8194,0,I sent she away.
852,0,"Mary came to read Fred's story, and I also came to."
1793,0,That piece of ice is too big for for him to be able to pick up with a teaspoon to be likely.
924,0,Sam stood near yesterday every one of the women we'd been discussing.
511,1,Ions struck the electrode.
1998,1,Leigh threw the ball to Lane.
1069,0,Old pictures of themselves convinced the children to pretend to be adults.
845,1,"Jos̩ likes cabbage, and Holly does too."
5257,1,The men would not enjoy that.
5081,0,It was to finish the homework that John tried.
2207,1,We loaded ourselves onto the bus.
1560,0,Joe is taller than I think Mary.
4102,0,You should avoid to travel in the rush hour.
8463,1,That the answer is obvious upset Hermes.
5353,1,You and I are as alike as a horse and a cow.
4819,1,I don't know whether to agree with him or not.
6584,1,I have wanted to meet the man who spent so much money planning the assassination of Kennedy for many years.
6405,1,Everybody who attended last week's huge rally signed the petition.
1044,0,Every man lifted the table together.
646,1,Dry the baby with the cloth asleep.
6195,1,I liked Mary and John.
5302,1,I gave Mary a book.
48,0,The car honked down the road.
5164,1,Who was it who interviewed you?
7413,1,Beavers build dams.
6668,1,The terrier attacked the burglar and savaged the burglar's ankles.
3519,1,Wash yourselves.
2652,1,Carla was shoveling.
4944,0,"Every student, who attended the party, had a good time."
3622,1,Where did you put the book?
7527,1,each of the girls likes herself.
1242,1,We are discussing their claim that flying saucers are real.
2863,0,The stone carved.
5323,1,"After John comes home, will Sally take a shower?"
2149,1,Crystal vases break easily.
7712,1,He is that kind of actor
5179,1,Almost every lawyer could answer that question.
5101,1,That's who I played with over Christmas.
2798,1,Paula hit Deirdre on the back.
217,1,The more pictures of himself that John buys the more arrogant he becomes.
535,1,Fruit dropped from the tree.
2833,1,The old and new carts banged together.
5472,1,Fido is a smarter dog than Spot.
4175,1,Many people were dying of thirst.
5607,1,I expect to soon see the results.
686,1,Mary will soon play the violin.
1085,0,What did Bill buy potatoes and?
7272,1,Mary cuts the paper easily.
1239,1,I have a feeling the company will squander the money.
5237,1,Couldn't you get any tickets better than this?
6340,1,John thinks that most depictions of himself are wrong.
1769,0,Willy is taller than Bill is strong and.
3255,1,Idaho potatoes bake beautifully.
6286,1,That kind of behavior annoys me.
3739,0,"The lady singing with a boy is a genius, isn't she?"
4263,1,John tries to be honest.
2320,0,The twig and the branch broke.
303,0,This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve.
6257,1,Robert knows that it is essential.
4253,0,Sally wishes that everyone would praise herself.
5054,1,It really freaks me out that we invaded Iraq.
6909,1,Jim was happily chopping logs.
3417,0,The phone company billed $10 to me.
1189,1,I read a statement about that man.
2593,1,Jessica sprayed paint over the table.
8036,1,Medea poisoned who?
8004,0,Jonathan persuaded Kate to lick himself.
1482,1,A review of this article came out yesterday.
5480,1,He's such the tall man.
4879,1,has no relative pronoun at all.
2268,1,Martha carved the baby a toy.
2837,1,Alison poked the cloth.
2001,0,The noise gave a headache to Terry.
3493,1,People now drink less beer.
70,1,Bill pushed Harry along the trail.
6085,1,The tuna will have been being eaten.
5339,0,Jack eats more caviar than he sleeps.
6701,1,The computer will calculate the value of the variable.
1559,1,Joe is taller than I think Mary is.
7631,1,John considers several people sick.
4140,1,The critique of Plato's Republic was written from a contemporary point of view.
5332,1,I've never seen a man taller than my father.
2646,1,Carla shoveled the snow from under the bushes.
1900,1,There was a snake behind the car Fred was sitting in.
3439,1,The tall man kicked the ball.
1557,1,Joe is taller than Mary is.
8377,1,Julie maintained her own ideas over the course of the argument.
1950,0,I didn't eat any ice cream or the cake.
532,1,Fruit at once hit the roof from the tree.
2339,1,Paula hit the fence with the stick.
4437,1,Has John sung a song?
2424,0,This movie just watches itself.
7446,0,Mary thinks for Bill to come.
1975,1,It is not certain that you'll marry any student.
8091,1,Andrew likes lard on his sandwiches
5046,1,I do not think it unreasonable to ask for the return of my subscription.
4000,1,He is proud of his son's passing the bar exam.
939,1,"China is a country that Joe wants to visit, and he will too, if he gets enough money."
2977,1,Her cousin clerked for Judge Davis.
6362,1,John didn't talk to a woman.
2315,1,The oil separated from the vinegar.
5754,1,John said Martha sang the aria with gusto.
3925,1,No photo of Max and sketch by his students appeared in the magazine.
4313,0,There tried to be intelligent.
743,0,Max failed the kids all as a father.
5084,1,It was the girl who kicked the ball.
2947,1,David constructed the house.
6533,0,Who do you regret saw you?
5141,0,It is Kim whom Sandy relies.
5639,1,The man loved peanut butter cookies.
7736,1,Aphrodite wanted to live and Ishtar tried to
7052,1,I will go and buy some whiskey.
8517,1,I compared Ginger to Fred
3382,1,The lions jumped through the hoop.
721,0,Bill proud of himself John doesn't consider.
460,0,The boat sank to collect the insurance.
4082,1,We were thankful that no one had been hurt.
3268,1,Bill is drying a lot of clothes on the line.
8290,1,He walked up the hill.
2825,1,Paula spanked the naughty child's back.
3318,1,In the aquarium there swam a striped fish.
3343,1,A solution immediately presented itself to him.
5211,0,It's not the case that every boy has any potatoes.
6007,0,Calvin could will eat the beef waffles.
766,1,He coughed his handkerchief completely soggy.
5374,1,John doesn't eat enough.
8381,1,He loves him
1601,1,I'll work on it if no one else had.
2962,1,Sandy sang.
7748,0,He book
332,1,She kept not seeing him.
4622,1,A book was handed to Chris.
6858,0,It is Ireland that he is going.
1805,1,John is ready for you to inspect his bunk.
2179,1,This metal won't pound flat.
1022,1,Who admires what?
5713,1,The cat put her catnip toy on the plastic mat.
1252,0,The claim you won't need it is being made by Jack.
1104,1,I want to go.
7707,1,Most dragons have been neutered.
4115,1,He repeated his claim that the people backed his action.
8529,0,The pigs grunts
8238,1,Look after yourself!
6643,1,Cakes were given to Margaret every Friday by the pupils in this maths class.
2904,0,I detached the handle and the box.
3646,0,the my dog is a terrier.
405,1,Bill saw him.
4662,1,The ball was kicked by him.
334,0,Marianne not left.
5575,1,She knocked herself on the head with a zucchini.
4157,0,Fifteen dollars in a week are not much.
3547,0,They read the under book.
5830,1,Bill wants Susan to leave.
4828,0,Fred knows which politician for her to vote for.
2930,1,Martha carved a toy out of the piece of wood.
6099,0,John thinks that left.
6502,0,Some answered any question.
5934,1,Phillip gave the soldier the medal.
3243,1,Tony bent the rod with pliers.
6062,1,Rory ate muffins.
8386,0,Anson is incredibly difficult to be pleased.
6529,0,Who do you regret that saw you?
4639,1,The car will be driven.
5233,1,I'm sorry he bought a car.
1906,1,There was a snake behind the car the time bomb was sitting in.
3550,1,He treats John very badly.
877,1,"John didn't hit a home run, but I know a woman who did."
4656,1,He is reputed to be a good scholar.
5435,0,She's just enough tall.
2117,1,Nixon's behavior gave Mailer an idea for a book.
3922,1,The bird devours the worm.
1551,1,"Tom, Dick, and Harry know it."
4346,0,Dana would be unlikely for Pat to be called upon.
7759,1,Who was it obvious that Plato loved?
1095,1,Who did he expect to show up who I was acquainted with?
2903,1,I detached the handle from the box.
2795,1,Paula hit the stick against the fence.
3917,0,John met in the park a student.
31,1,Bill urinated out the window.
873,0,Lilly recounted a story to remember because Holly had also recounted a story to.
2784,1,Steve pelted Anna with acorns.
2006,1,Fred threw the ball under the porch.
7964,1,He might no could have done it
5694,1,I am drinking lemonade and eating a brownie.
7596,1,Which pictures of Bill did she put on your desk.
2864,1,Carol carved the marble.
893,0,"I will, if I can work on it."
3683,1,John suddenly put the customers off.
8343,1,It snowed
798,0,Mary tried John to go abroad.
7468,0,Did not Sue pass her exam?
6311,1,Brandon read every book that Megan did.
5357,1,John is more than 6 feet tall.
1941,1,No student who ever goes to Europe ever has enough money.
4554,0,Ann may spending her vacation in Italy.
4649,1,"Yesterday, the child really kicked a monkey in the street."
1086,0,"What dl,d John fall asleep and Bill wear?"
6344,0,John loves him.
4607,1,The executive committee approved the new policy.
3996,0,The student knowing the answers.
326,1,"Louise likes not being happy, doesn't she?"
653,1,The cup emptied of water onto the ground.
2478,1,Kelly buttered the bread.
2752,1,Carmen purchased a dress at Bloomingdale's for $50.
7089,1,"Kim went to the store, and then Lou."
1015,1,Some tourists visited all the museums.
789,1,John's plan to go abroad is nice.
6227,1,I blew it up.
1321,1,Who ate what?
4504,0,John not left the town.
1886,0,That barn has seven pine trees behind the cow.
7977,0,Julie maintained if the barman was sober.
3568,0,I am anxious for you should study English grammar hard.
4711,1,We cannot put up with the noise anymore.
4063,1,Cohen proved that the continuum hypothesis was independent.
8294,1,Aphrodite said he freed the animals and free the animals he did
2614,1,Lydia pocketed the change.
3316,1,A striped fish swam in the aquarium.
6330,0,Heidi dislikes the TV's depiction of herself.
4848,1,What proof that he has implicated have you found?
3649,1,The monkeys approved of their leader.
3368,1,The convict escaped the police.
3560,0,The his jobs are in jeopardy.
4643,1,The car has been being driven.
8161,1,His book
6736,1,Sir Walter Elliott imagined the scene.
951,1,"Joe will go to the store, even though Fred already has."
5611,1,I expect to more than double my profits.
8288,0,My mother hated myself
6768,0,"When never had Sir Thomas been so offended, Mr Yates left."
